,Holding,Symbol,Weighting,Fund
510,Bank of East Asia Ltd,23,0.1851%,DIM
511,Ampol Ltd,ALD,0.1838%,DIM
512,Tohoku Electric Power Co Inc,9506,0.1811%,DIM
513,Concordia Financial Group Ltd,7186,0.1808%,DIM
514,Hargreaves Lansdown PLC,HL.,0.1805%,DIM
515,Covivio SA,COV,0.1799%,DIM
516,Chugoku Electric Power Co Inc,9504,0.1789%,DIM
517,Mercury NZ Ltd,MCY,0.1785%,DIM
518,Clariant AG,CLN,0.1779%,DIM
519,Tosoh Corp,4042,0.1777%,DIM
520,Infrastrutture Wireless Italiane SpA,INW,0.1769%,DIM
521,Faurecia SE,EO,0.1764%,DIM
522,Mitsui Chemicals Inc,4183,0.1763%,DIM
523,Kajima Corp,1812,0.1751%,DIM
524,Acciona SA,ANA,0.175%,DIM
525,Casio Computer Co Ltd,6952,0.1745%,DIM
526,Makita Corp,6586,0.1745%,DIM
527,A2A SpA,A2A,0.1733%,DIM
528,Amada Co Ltd,6113,0.1727%,DIM
529,Lawson Inc,2651,0.1708%,DIM
530,Yamaha Corp,7951,0.1705%,DIM
531,Holmen AB,HOLM.B,0.1703%,DIM
532,JSR Corp,4185,0.1702%,DIM
533,Medibank Private Ltd,MPL,0.1698%,DIM
534,Boral Ltd,BLD,0.1697%,DIM
535,Qantas Airways Ltd,QAN,0.1695%,DIM
536,Burberry Group PLC,BRBY,0.1694%,DIM
537,NSK Ltd,6471,0.1691%,DIM
538,Singapore Airlines Ltd,C6L,0.1687%,DIM
539,Castellum AB,CAST,0.1681%,DIM
540,TOTO Ltd,5332,0.1676%,DIM
541,Hulic Co Ltd,3003,0.1676%,DIM
542,Seiko Epson Corp,6724,0.1673%,DIM
543,Elia Group SA,ELI,0.1667%,DIM
544,Hera SpA,HER,0.166%,DIM
545,Wacker Chemie AG,WCH,0.1658%,DIM
546,Evolution Gaming Group AB (publ),EVO,0.165%,DIM
547,Hitachi Metals Ltd,5486,0.1649%,DIM
548,Mitsubishi Heavy Industries Ltd,7011,0.1639%,DIM
549,Croda International PLC,CRDA,0.1629%,DIM
550,Icl Group Ltd,ICL,0.1628%,DIM
551,BYD Electronic International Co Ltd,285,0.1627%,DIM
552,Chiba Bank Ltd,8331,0.1622%,DIM
553,Topdanmark A/S,TOP,0.162%,DIM
554,Bellway PLC,BWY,0.1619%,DIM
555,NH Foods Ltd,2282,0.1612%,DIM
556,Alfresa Holdings Corp,2784,0.1601%,DIM
557,Acea SpA,ACE,0.1595%,DIM
558,Bankinter SA,BKT,0.1587%,DIM
559,WM Morrison Supermarkets PLC,MRW,0.1586%,DIM
560,Pigeon Corp,7956,0.1584%,DIM
561,Spirax-Sarco Engineering PLC,SPX,0.1578%,DIM
562,NGK Insulators Ltd,5333,0.1568%,DIM
563,Trelleborg AB,TREL.B,0.156%,DIM
564,Etablissementen Franz Colruyt NV,COLR,0.1558%,DIM
565,Kintetsu Group Holdings Co Ltd,9041,0.1547%,DIM
566,Scout24 AG,G24,0.1543%,DIM
567,Cochlear Ltd,COH,0.154%,DIM
568,Idemitsu Kosan Co Ltd,5019,0.154%,DIM
569,Lundin Energy AB,LUNE,0.1532%,DIM
570,Konami Holdings Corp,9766,0.1522%,DIM
571,Venture Corporation Ltd,V03,0.1515%,DIM
572,DKSH Holding AG,DKSH,0.1511%,DIM
573,Andritz AG,ANDR,0.1506%,DIM
574,Royal Unibrew A/S,RBREW,0.149%,DIM
575,REA Group Ltd,REA,0.1488%,DIM
576,Remy Cointreau SA,RCO,0.1483%,DIM
577,Toho Co Ltd (Tokyo),9602,0.1481%,DIM
578,Newcrest Mining Ltd,NCM,0.148%,DIM
579,Santen Pharmaceutical Co Ltd,4536,0.1479%,DIM
580,Santos Ltd,STO,0.1478%,DIM
581,Hikma Pharmaceuticals PLC,HIK,0.1472%,DIM
582,Tate & Lyle PLC,TATE,0.147%,DIM
583,Eutelsat Communications SA,ETL,0.147%,DIM
584,Yara International ASA,YAR,0.1461%,DIM
585,DCC PLC,DCC,0.1458%,DIM
586,Medipal Holdings Corp,7459,0.1454%,DIM
587,Yamada Denki Co Ltd,9831,0.1453%,DIM
588,ASM International NV,ASM,0.1447%,DIM
589,Informa PLC,INF,0.1445%,DIM
590,Metro AG,B4B,0.1433%,DIM
591,ERG SpA,ERG,0.1428%,DIM
592,Seek Ltd,SEK,0.1424%,DIM
593,Swatch Group AG,UHRN,0.1418%,DIM
594,Tokyu Corp,9005,0.1415%,DIM
595,Jardine Cycle & Carriage Ltd,C07,0.1413%,DIM
596,Telekom Austria AG,TKA,0.1412%,DIM
597,Avast PLC,AVST,0.1402%,DIM
598,BKW AG,BKW,0.1398%,DIM
599,Suedzucker AG,SZU,0.1394%,DIM
600,Itochu Techno-Solutions Corp,4739,0.1385%,DIM
601,Yaskawa Electric Corp,6506,0.1379%,DIM
602,Nomura Real Estate Holdings Inc,3231,0.1377%,DIM
603,Coca Cola HBC AG,CCH,0.1375%,DIM
604,Minebea Mitsumi Inc,6479,0.1365%,DIM
605,Easyjet PLC,EZJ,0.1365%,DIM
606,Pola Orbis Holdings Inc,4927,0.1356%,DIM
607,Yuexiu Property Co Ltd,123,0.1348%,DIM
608,Toray Industries Inc,3402,0.1344%,DIM
609,Stroeer SE & Co KGaA,SAX,0.134%,DIM
610,Mebuki Financial Group Inc,7167,0.1334%,DIM
611,Telecom Italia SpA,TITR,0.133%,DIM
612,Vifor Pharma AG,VIFN,0.1319%,DIM
613,Contact Energy Ltd,CEN,0.1315%,DIM
614,Wartsila Oyj Abp,WRT1V,0.1309%,DIM
615,Husqvarna AB,HUSQ.B,0.1303%,DIM
616,ConvaTec Group PLC,CTEC,0.1302%,DIM
617,Zardoya Otis SA,ZOT,0.1297%,DIM
618,Kyushu Electric Power Co Inc,9508,0.1297%,DIM
619,Johnson Matthey PLC,JMAT,0.1295%,DIM
620,Evolution Mining Ltd,EVN,0.129%,DIM
621,Nabtesco Corp,6268,0.129%,DIM
622,Sharp Corp,6753,0.1288%,DIM
623,Imerys SA,NK,0.1279%,DIM
624,USS Co Ltd,4732,0.1278%,DIM
625,Helvetia Holding AG,HELN,0.1273%,DIM
626,Securitas AB,SECU.B,0.1269%,DIM
627,Shizuoka Bank Ltd,8355,0.1266%,DIM
628,Chr Hansen Holding A/S,CHR,0.1263%,DIM
629,Fukuoka Financial Group Inc,8354,0.1262%,DIM
630,Mazda Motor Corp,7261,0.1261%,DIM
631,NGK Spark Plug Co Ltd,5334,0.1259%,DIM
632,HELLA GmbH & Co KGaA,HLE,0.1259%,DIM
633,Vontobel Holding AG,VONN,0.1248%,DIM
634,MTU Aero Engines AG,MTX,0.1238%,DIM
635,Seven Bank Ltd,8410,0.1238%,DIM
636,Sojitz Corp,2768,0.1236%,DIM
637,Compagnie Plastic Omnium SE,POM,0.1235%,DIM
638,Shenzhen Investment Ltd,604,0.1227%,DIM
639,Ebro Foods SA,EBRO,0.1226%,DIM
640,Gaztransport et Technigaz SA,GTT,0.1222%,DIM
641,Aozora Bank Ltd,8304,0.1217%,DIM
642,Aker ASA,AKER,0.1211%,DIM
643,Kurita Water Industries Ltd,6370,0.121%,DIM
644,SEB SA,SK,0.1207%,DIM
645,Compania de Distribucion Integral Logista Holdings SA,LOG,0.1206%,DIM
646,Mitsubishi UFJ Lease & Finance Co Ltd,8593,0.12%,DIM
647,Pearson PLC,PSON,0.1176%,DIM
648,Star Entertainment Group Ltd,SGR,0.1167%,DIM
649,Hankyu Hanshin Holdings Inc,9042,0.1167%,DIM
650,Hino Motors Ltd,7205,0.1157%,DIM
651,DiaSorin SpA,DIA,0.1157%,DIM
652,Far East Horizon Ltd,3360,0.1157%,DIM
653,Aalberts NV,AALB,0.1156%,DIM
654,Fuji Electric Co Ltd,6504,0.115%,DIM
655,Brother Industries Ltd,6448,0.1144%,DIM
656,Jtekt Corp,6473,0.1142%,DIM
657,Huhtamaki Oyj,HUH1V,0.1139%,DIM
658,Teijin Ltd,3401,0.1136%,DIM
659,Raiffeisen Bank International AG,RBI,0.1135%,DIM
660,Bendigo and Adelaide Bank Ltd,BEN,0.1124%,DIM
661,Computershare Ltd,CPU,0.1123%,DIM
662,Reece Ltd,REH,0.1116%,DIM
663,Ashmore Group PLC,ASHM,0.1108%,DIM
664,Georg Fischer AG,FI-N,0.1108%,DIM
665,Leroy Seafood Group ASA,LSG,0.1102%,DIM
666,Societe BIC SA,BB,0.1097%,DIM
667,Bechtle AG,BC8,0.1091%,DIM
668,Shimadzu Corp,7701,0.1089%,DIM
669,Valmet Oyj,VALMT,0.1083%,DIM
670,Azrieli Group Ltd,AZRG,0.1083%,DIM
671,Grandvision NV,GVNV,0.1082%,DIM
672,Treasury Wine Estates Ltd,TWE,0.1079%,DIM
673,Olam International Ltd,O32,0.1079%,DIM
674,Kuraray Co Ltd,3405,0.107%,DIM
675,Beijing Enterprises Holdings Ltd,392,0.1068%,DIM
676,Kojamo Oyj,KOJAMO,0.1066%,DIM
677,Vienna Insurance Group AG Wiener Versicherung Gruppe,VIG,0.1063%,DIM
678,Hysan Development Co Ltd,14,0.1059%,DIM
679,Fomento de Construcciones y Contratas SA,FCC,0.1054%,DIM
680,Mitsubishi Motors Corp,7211,0.1053%,DIM
681,Straumann Holding AG,STMN,0.105%,DIM
682,Rubis SCA,RUI,0.1049%,DIM
683,AVEVA Group PLC,AVV,0.1044%,DIM
684,Stanley Electric Co Ltd,6923,0.1039%,DIM
685,HomeServe PLC,HSV,0.1034%,DIM
686,Seven Group Holdings Ltd,SVW,0.1029%,DIM
687,Washington H Soul Pattinson and Company Ltd,SOL,0.1025%,DIM
688,Verbund AG,VER,0.102%,DIM
689,ZOZO Inc,3092,0.1014%,DIM
690,China Everbright Environment Group Ltd,257,0.1011%,DIM
691,Comsys Holdings Corp,1721,0.1004%,DIM
692,Orica Ltd,ORI,0.1003%,DIM
693,Fabege AB,FABG,0.1001%,DIM
694,Oji Holdings Corp,3861,0.0997%,DIM
695,SFS Group AG,SFSN,0.0992%,DIM
696,Sumitomo Rubber Industries Ltd,5110,0.0992%,DIM
697,City Developments Ltd,C09,0.0989%,DIM
698,NOS SGPS SA,NOS,0.098%,DIM
699,Kawasaki Heavy Industries Ltd,7012,0.0975%,DIM
700,Intrum AB,INTRUM,0.0974%,DIM
701,Ricoh Co Ltd,7752,0.0974%,DIM
702,Britvic PLC,BVIC,0.0973%,DIM
703,Ryman Healthcare Ltd,RYM,0.0969%,DIM
704,Alps Alpine Co Ltd,6770,0.0969%,DIM
705,Aeon Financial Service Co Ltd,8570,0.0965%,DIM
706,Hakuhodo DY Holdings Inc,2433,0.0958%,DIM
707,Sankyo Co Ltd,6417,0.0956%,DIM
708,Nikon Corp,7731,0.0954%,DIM
709,Sumitomo Dainippon Pharma Co Ltd,4506,0.0946%,DIM
710,Sparebank 1 SR Bank ASA,SRBANK,0.0943%,DIM
711,Taiheiyo Cement Corp,5233,0.0942%,DIM
712,Bucher Industries AG,BUCN,0.0934%,DIM
713,Kakaku.com Inc,2371,0.0923%,DIM
714,Comfortdelgro Corporation Ltd,C52,0.0921%,DIM
715,Spectris PLC,SXS,0.0913%,DIM
716,Iluka Resources Ltd,ILU,0.0912%,DIM
717,Kansai Paint Co Ltd,4613,0.0891%,DIM
718,Sweco AB (publ),SWEC.B,0.0887%,DIM
719,Auto Trader Group PLC,AUTO,0.0885%,DIM
720,TUI AG,TUI1,0.0881%,DIM
721,Atlas Arteria Group,ALX,0.0879%,DIM
722,Wendel SE,MF,0.0878%,DIM
723,Enav SpA,ENAV,0.0869%,DIM
724,SATS Ltd,S58,0.0869%,DIM
725,Iren SpA,IRE,0.0866%,DIM
726,Eurazeo SE,RF,0.086%,DIM
727,UOL Group Ltd,U14,0.0858%,DIM
728,Quilter PLC,QLT,0.0851%,DIM
729,Lanxess AG,LXS,0.085%,DIM
730,Sumitomo Heavy Industries Ltd,6302,0.0848%,DIM
731,Rockwool International A/S,ROCK.B,0.0824%,DIM
732,Ipsen SA,IPN,0.0814%,DIM
733,Hang Lung Group Ltd,10,0.0807%,DIM
734,Rheinmetall AG,RHM,0.0805%,DIM
735,Daicel Corp,4202,0.0797%,DIM
736,Seibu Holdings Inc,9024,0.0781%,DIM
737,Kyushu Railway Co,9142,0.0774%,DIM
738,Tokyu Fudosan Holdings Corp,3289,0.0772%,DIM
739,Grupo Catalana Occidente SA,GCO,0.0768%,DIM
740,Fuchs Petrolub SE,FPE,0.0744%,DIM
741,Challenger Ltd,CGF,0.0742%,DIM
742,OC Oerlikon Corporation AG Pfaeffikon,OERL,0.0732%,DIM
743,Electrocomponents PLC,ECM,0.0727%,DIM
744,Downer EDI Ltd,DOW,0.0724%,DIM
745,Mitsubishi Materials Corp,5711,0.0724%,DIM
746,Elbit Systems Ltd,ESLT,0.0718%,DIM
747,Canon Marketing Japan Inc,8060,0.0706%,DIM
748,Origin Energy Ltd,ORG,0.0698%,DIM
749,J.Front Retailing Co Ltd,3086,0.0697%,DIM
750,Marui Group Co Ltd,8252,0.0678%,DIM
751,Showa Denko KK,4004,0.0675%,DIM
752,Sino-Ocean Group Holding Ltd,3377,0.0675%,DIM
753,Derwent London PLC,DLN,0.0657%,DIM
754,Ryohin Keikaku Co Ltd,7453,0.061%,DIM
755,Coca-Cola Bottlers Japan Holdings Inc,2579,0.0598%,DIM
756,Park24 Co Ltd,4666,0.0593%,DIM
757,Yokogawa Electric Corp,6841,0.0579%,DIM
758,Babcock International Group PLC,BAB,0.0572%,DIM
759,Nisshin Seifun Group Inc,2002,0.0572%,DIM
760,Taiyo Nippon Sanso Corp,4091,0.057%,DIM
761,Schroders PLC,SDRC,0.0564%,DIM
762,Beazley PLC,BEZ,0.0554%,DIM
763,Electric Power Development Co Ltd,9513,0.0553%,DIM
764,CIE Automotive SA,CIE,0.0528%,DIM
765,Yokohama Rubber Co Ltd,5101,0.0524%,DIM
766,SBM Offshore NV,SBMO,0.0524%,DIM
767,Kaz Minerals PLC,KAZ,0.0506%,DIM
768,Aeon Mall Co Ltd,8905,0.0504%,DIM
769,Air Water Inc,4088,0.0497%,DIM
770,IHI Corp,7013,0.0487%,DIM
771,Frasers Property Ltd,TQ5,0.0486%,DIM
772,Glanbia PLC,GL9i,0.0473%,DIM
773,Worley Ltd,WOR,0.0424%,DIM
774,Hapag Lloyd AG,HLAG,0.0423%,DIM
775,Lifco AB (publ),LIFCO.B,0.0413%,DIM
776,Iliad SA,ILD,0.0394%,DIM
777,Leonardo SpA,LDO,0.0344%,DIM
778,Berkeley Group Holdings PLC,BKG,0.0311%,DIM
779,Konica Minolta Inc,4902,0.0308%,DIM
780,Viva Energy Group Ltd,VEA,0.0306%,DIM
781,EDP Renovaveis SA,EDPR,0.0301%,DIM
782,TechnipFMC PLC,FTI,0.0274%,DIM
783,Northern Star Resources Ltd,NST,0.0268%,DIM
784,Investec PLC,INVP,0.0256%,DIM
785,IDP Education Ltd,IEL,0.0232%,DIM
786,SSP Group PLC,SSPG,0.0197%,DIM
787,TUI AG,TUI,0.0169%,DIM
788,Whitehaven Coal Ltd,WHC,0.0147%,DIM
789,Neles Oyj,NELES,0.0093%,DIM
790,Alibaba Group Holding Ltd,BABA,8.1648%,EEM
791,Tencent Holdings Ltd,700,5.8714%,EEM
792,Taiwan Semiconductor Manufacturing Co Ltd,2330,5.7456%,EEM
793,Samsung Electronics Co Ltd,005930,3.732%,EEM
794,Meituan Dianping,3690,1.6959%,EEM
795,Reliance Industries Ltd,RIL,1.364%,EEM
796,Cash Component,CASH,1.2103%,EEM
797,Naspers Ltd,NPN,1.1961%,EEM
798,JD.Com Inc,JD,1.0041%,EEM
799,China Construction Bank Corp,939,0.9724%,EEM
800,Ping An Insurance Group Co of China Ltd,2318,0.9602%,EEM
801,Infosys Ltd,INFO,0.7319%,EEM
802,SK Hynix Inc,000660,0.6178%,EEM
803,China Mobile Ltd,941,0.6073%,EEM
804,Vale SA,VALE3,0.601%,EEM
805,Housing Development Finance Corporation Ltd,HDFC,0.5997%,EEM
806,NetEase Inc,NTES,0.582%,EEM
807,Samsung Electronics Co Ltd,005935,0.5604%,EEM
808,Baidu Inc,BIDU,0.5258%,EEM
809,Hon Hai Precision Industry Co Ltd,2317,0.5181%,EEM
810,MediaTek Inc,2454,0.5%,EEM
811,Naver Corp,035420,0.4951%,EEM
812,Industrial and Commercial Bank of China Ltd,1398,0.4833%,EEM
813,Sberbank Rossii PAO,SBER,0.4799%,EEM
814,Tata Consultancy Services Ltd,TCS,0.4755%,EEM
815,TAL Education Group,TAL,0.4473%,EEM
816,Xiaomi Corp,1810,0.4284%,EEM
817,LG Chem Ltd,051910,0.4035%,EEM
818,ICICI Bank Ltd,ICICIBANK,0.3891%,EEM
819,Bank of China Ltd,3988,0.3768%,EEM
820,Gazprom PAO,GAZP,0.3755%,EEM
821,NK Lukoil PAO,LKOH,0.3746%,EEM
822,WuXi Biologics (Cayman) Inc,2269,0.3743%,EEM
823,Hyundai Motor Co,005380,0.3565%,EEM
824,Hindustan Unilever Ltd,HUVR,0.3561%,EEM
825,Qatar National Bank QPSC,QNBK,0.3508%,EEM
826,NIO Inc,NIO,0.3497%,EEM
827,Al Rajhi Banking & Investment Corporation SJSC,1120,0.3396%,EEM
828,Saudi Basic Industries Corporation SJSC,2010,0.3362%,EEM
829,New Oriental Education & Technology Group Inc,EDU,0.3322%,EEM
830,Celltrion Inc,068270,0.3283%,EEM
831,America Movil SAB de CV,AMXL,0.3246%,EEM
832,Samsung SDI Co Ltd,006400,0.322%,EEM
833,Yum China Holdings Inc,YUMC,0.3217%,EEM
834,Saudi Arabian Oil Co,2222,0.3174%,EEM
835,Pinduoduo Inc,PDD,0.3126%,EEM
836,B3 SA Brasil Bolsa Balcao,B3SA3,0.3096%,EEM
837,Itau Unibanco Holding SA,ITUB4,0.3001%,EEM
838,Yandex NV,YNDX,0.2953%,EEM
839,Kweichow Moutai Co Ltd,600519,0.2919%,EEM
840,Bank Central Asia Tbk PT,BBCA,0.2881%,EEM
841,China Merchants Bank Co Ltd,3968,0.2823%,EEM
842,Kakao Corp,035720,0.2773%,EEM
843,CNOOC Ltd,883,0.2705%,EEM
844,China Life Insurance Co Ltd,2628,0.2598%,EEM
845,Saudi Telecom Company SJSC,7010,0.2553%,EEM
846,Petroleo Brasileiro SA Petrobras,PETR4,0.2518%,EEM
847,GMK Noril'skiy Nikel' PAO,GMKN,0.2362%,EEM
848,Banco Bradesco SA,BBDC4,0.2343%,EEM
849,Trip.com Group Ltd,TCOM,0.233%,EEM
850,National Commercial Bank SJSC,1180,0.2309%,EEM
851,Chunghwa Telecom Co Ltd,2412,0.2165%,EEM
852,Shenzhou International Group Holdings Ltd,2313,0.215%,EEM
853,China Resources Land Ltd,1109,0.2147%,EEM
854,Petroleo Brasileiro SA Petrobras,PETR3,0.2091%,EEM
855,Hyundai Mobis Co Ltd,012330,0.2067%,EEM
856,Axis Bank Ltd,AXSB,0.2063%,EEM
857,KB Financial Group Inc,105560,0.2%,EEM
858,China Mengniu Dairy Co Ltd,2319,0.1997%,EEM
859,Delta Electronics Inc,2308,0.1953%,EEM
860,Posco,005490,0.1945%,EEM
861,Novatek PAO,NVTK,0.1943%,EEM
862,Wal Mart de Mexico SAB de CV,WALMEX*,0.1918%,EEM
863,PTT PCL,PTT-R,0.1899%,EEM
864,HCL Technologies Ltd,HCLT,0.1881%,EEM
865,FirstRand Ltd,FSR,0.1843%,EEM
866,LARGAN Precision Co Ltd,3008,0.1833%,EEM
867,LG Household & Healthcare Ltd,051900,0.1826%,EEM
868,Magazine Luiza SA,MGLU3,0.1821%,EEM
869,Geely Automobile Holdings Ltd,175,0.181%,EEM
870,NCSOFT Corp,036570,0.1804%,EEM
871,Sino Biopharmaceutical Ltd,1177,0.1794%,EEM
872,Bank Rakyat Indonesia (Persero) Tbk PT,BBRI,0.1785%,EEM
873,CP All PCL,CPALL-R,0.176%,EEM
874,ZTO Express (Cayman) Inc,ZTO,0.1756%,EEM
875,AngloGold Ashanti Ltd,ANG,0.1742%,EEM
876,CTBC Financial Holding Co Ltd,2891,0.1733%,EEM
877,ANTA Sports Products Ltd,2020,0.1733%,EEM
878,Gold Fields Ltd,GFI,0.1728%,EEM
879,Public Bank Bhd,PBBANK,0.1728%,EEM
880,CSPC Pharmaceutical Group Ltd,1093,0.1714%,EEM
881,Maruti Suzuki India Ltd,MSIL,0.1708%,EEM
882,Shinhan Financial Group Co Ltd,055550,0.1702%,EEM
883,Sunny Optical Technology Group Co Ltd,2382,0.17%,EEM
884,Nan Ya Plastics Corp,1303,0.1686%,EEM
885,Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.1679%,EEM
886,United Microelectronics Corp,2303,0.1667%,EEM
887,Kia Motors Corp,000270,0.1658%,EEM
888,Formosa Plastics Corp,1301,0.1651%,EEM
889,Cathay Financial Holding Co Ltd,2882,0.1643%,EEM
890,Uni-President Enterprises Corp,1216,0.1628%,EEM
891,Mega Financial Holding Co Ltd,2886,0.1616%,EEM
892,Ambev SA,ABEV3,0.1602%,EEM
893,E.SUN Financial Holding Co Ltd,2884,0.1592%,EEM
894,Longfor Group Holdings Ltd,960,0.1585%,EEM
895,Sunac China Holdings Ltd,1918,0.1552%,EEM
896,Samsung Biologics Co Ltd,207940,0.1548%,EEM
897,WEG SA,WEGE3,0.1535%,EEM
898,China Petroleum & Chemical Corp,386,0.1509%,EEM
899,Li Ning Co Ltd,2331,0.1501%,EEM
900,Top Glove Corporation Bhd,TOPGLOV,0.1492%,EEM
901,China Overseas Land & Investment Ltd,688,0.1483%,EEM
902,Fubon Financial Holding Co Ltd,2881,0.1448%,EEM
903,Country Garden Holdings Co Ltd,2007,0.1439%,EEM
904,Byd Co Ltd,1211,0.1408%,EEM
905,China Resources Beer Holdings Co Ltd,291,0.1399%,EEM
906,Grupo Financiero Banorte SAB de CV,GFNORTEO,0.138%,EEM
907,Telekomunikasi Indonesia (Persero) Tbk PT,TLKM,0.1364%,EEM
908,Country Garden Services Holdings Co Ltd,6098,0.1356%,EEM
909,First Abu Dhabi Bank PJSC,FAB,0.1338%,EEM
910,ENN Energy Holdings Ltd,2688,0.1336%,EEM
911,Tatneft' PAO,TATN,0.1323%,EEM
912,Anhui Conch Cement Co Ltd,914,0.1312%,EEM
913,Credicorp Ltd,BAP,0.1306%,EEM
914,Agricultural Bank of China Ltd,1288,0.1303%,EEM
915,LG Electronics Inc,066570,0.13%,EEM
916,Formosa Chemicals & Fibre Corp,1326,0.1298%,EEM
917,Standard Bank Group Ltd,SBK,0.1292%,EEM
918,KT&G Corp,033780,0.1285%,EEM
919,China Steel Corp,2002,0.128%,EEM
920,Bajaj Finance Ltd,BAJFINANCE,0.127%,EEM
921,Semiconductor Manufacturing International Corp,981,0.126%,EEM
922,Dr.Reddy's Laboratories Ltd,DRRD,0.1257%,EEM
923,Siam Cement PCL,SCC-R,0.1247%,EEM
924,Emirates Telecommunications Group Co PJSC,ETISALAT,0.1245%,EEM
925,Airports of Thailand PCL,AOT-R,0.1242%,EEM
926,Wuliangye Yibin Co Ltd,000858,0.1238%,EEM
927,China Pacific Insurance Group Co Ltd,2601,0.122%,EEM
928,Alibaba Health Information Technology Ltd,241,0.1219%,EEM
929,China Conch Venture Holdings Ltd,586,0.121%,EEM
930,CD Projekt SA,CDR,0.1198%,EEM
931,Samsung C&T Corp,028260,0.1196%,EEM
932,Grupo Mexico SAB de CV,GMEXICOB,0.1196%,EEM
933,Bharti Airtel Ltd,BHARTI,0.1194%,EEM
934,Asian Paints Ltd,APNT,0.1189%,EEM
935,Yihai International Holding Ltd,1579,0.117%,EEM
936,China Tower Corp Ltd,788,0.1164%,EEM
937,Samba Financial Group SJSC,1090,0.1156%,EEM
938,First Financial Holding Co Ltd,2892,0.1148%,EEM
939,Hana Financial Group Inc,086790,0.1136%,EEM
940,China Gas Holdings Ltd,384,0.1126%,EEM
941,Impala Platinum Holdings Ltd,IMP,0.1112%,EEM
942,SK Telecom Co Ltd,017670,0.1111%,EEM
943,Ping An Insurance Group Co of China Ltd,601318,0.1107%,EEM
944,Polyus PAO,PLZL,0.1099%,EEM
945,Taiwan Cement Corp,1101,0.1096%,EEM
946,Itausa Investimentos Itau SA,ITSA4,0.109%,EEM
947,Hartalega Holdings Bhd,HARTA,0.1087%,EEM
948,Huazhu Group Ltd,HTHT,0.1084%,EEM
949,Vipshop Holdings Ltd,VIPS,0.1079%,EEM
950,Innovent Biologics Inc,1801,0.1073%,EEM
951,OTP Bank Nyrt,OTP,0.1064%,EEM
952,Malayan Banking Bhd,MAYBANK,0.1064%,EEM
953,ITC Ltd,ITC,0.1063%,EEM
954,ASE Technology Holding Co Ltd,3711,0.106%,EEM
955,Samsung Electro-Mechanics Co Ltd,009150,0.1054%,EEM
956,Hotai Motor Co Ltd,2207,0.1049%,EEM
957,SK Innovation Co Ltd,096770,0.1047%,EEM
958,Natura & Co Holding SA,NTCO3,0.1041%,EEM
959,Riyad Bank SJSC,1010,0.104%,EEM
960,China Merchants Bank Co Ltd,600036,0.1038%,EEM
961,Globant SA,GLOB,0.1037%,EEM
962,Sibanye Stillwater Ltd,SSW,0.1024%,EEM
963,Advanced Info Service PCL,ADVANC-R,0.1016%,EEM
964,GDS Holdings Ltd,GDS,0.1008%,EEM
965,Bank Mandiri (Persero) Tbk PT,BMRI,0.1002%,EEM
966,Taiwan Cooperative Financial Holding Co Ltd,5880,0.0996%,EEM
967,Mahindra and Mahindra Ltd,MM,0.0987%,EEM
968,Commercial International Bank Egypt SAE,COMI,0.0987%,EEM
969,UltraTech Cement Ltd,UTCEM,0.0985%,EEM
970,PetroChina Co Ltd,857,0.0984%,EEM
971,Localiza Rent a Car SA,RENT3,0.0978%,EEM
972,Realtek Semiconductor Corp,2379,0.0975%,EEM
973,Emirates NBD Bank PJSC,EMIRATESNBD,0.0973%,EEM
974,Astra International Tbk PT,ASII,0.0971%,EEM
975,China Shenhua Energy Co Ltd,1088,0.0967%,EEM
976,Kingdee International Software Group Co Ltd,268,0.0958%,EEM
977,SM Prime Holdings Inc,SMPH,0.0954%,EEM
978,SK Holdings Co Ltd,034730,0.0944%,EEM
979,Xinyi Solar Holdings Ltd,968,0.094%,EEM
980,Bangkok Dusit Medical Services PCL,BDMS-R,0.094%,EEM
981,LG Corp,003550,0.0936%,EEM
982,Yuanta Financial Holdings Co Ltd,2885,0.0928%,EEM
983,Ke Holdings Inc,BEKE,0.0923%,EEM
984,Asustek Computer Inc,2357,0.0921%,EEM
985,Sun Pharmaceutical Industries Ltd,SUNP,0.091%,EEM
986,MTN Group Ltd,MTN,0.0901%,EEM
987,NK Rosneft' PAO,ROSN,0.09%,EEM
988,Tenaga Nasional Bhd,TENAGA,0.0896%,EEM
989,Haidilao International Holding Ltd,6862,0.0892%,EEM
990,Zai Lab Ltd,ZLAB,0.0884%,EEM
991,Lojas Renner SA,LREN3,0.0882%,EEM
992,GSX Techedu Inc,GSX,0.0878%,EEM
993,Sanlam Ltd,SLM,0.0877%,EEM
994,Notre Dame Intermedica Participacoes SA,GNDI3,0.0874%,EEM
995,Cemex SAB de CV,CEMEXCPO,0.0866%,EEM
996,Chailease Holding Company Ltd,5871,0.0863%,EEM
997,Hansoh Pharmaceutical Group Co Ltd,3692,0.0861%,EEM
998,Larsen & Toubro Ltd,LT,0.086%,EEM
999,Tencent Music Entertainment Group,TME,0.0856%,EEM
1000,Autohome Inc,ATHM,0.0854%,EEM
1001,HDFC Standard Life Insurance Company Ltd,HDFCLIFE,0.0851%,EEM
1002,Novatek Microelectronics Corp,3034,0.0839%,EEM
1003,Taiwan Mobile Co Ltd,3045,0.0838%,EEM
1004,Magnit PAO,MGNT,0.0834%,EEM
